task 4,,,,
MAH00265,,,,
,rpm1,rpm2,time 1,time 2
,4087,4381,"68,44","71,24"
,4532,4475,"72,16","74,96"
,4374,4328,"75,92","78,76"
,3803,3790,"104,96","108,24"
,3693,3630,"109,4","112,76"
,3636,3572,"113,96","117,36"
,3586,3524,"118,6","122,08"
,3516,3450,"123,28","126,84"
,2740,2422,"170,92","175,28"
,2779,2572,"176,88","181,4"
,2551,2513,"182,96","187,68"
,2517,2476,"189,32","194,2"
,2428,2410,"195,88","201,08"
,2369,2317,"202,76","207,88"
,2350,2219,"209,44","214,6"
,2256,2153,"216,36","221,72"
,2226,2101,"224,4",230
,1662,1617,"5,84","13,04"
,1553,1534,"18,04","25,92"
,1546,1519,"27,72","35,36"